Total A and B	2010 week:Ê1	2010 week:Ê2	2010 week:Ê3	2010 week:Ê4	2010 week:Ê5	2010 week:Ê6	2010 week:Ê7	2010 week:Ê8	2010 week:Ê9	2010 week:Ê10	2010 week:Ê11	2010 week:Ê12	2010 week:Ê13	2010 week:Ê14	2010 week:Ê15	2010 week:Ê16	2010 week:Ê17	2010 week:Ê18	2010 week:Ê19	2010 week:Ê20	2010 week:Ê21	2010 week:Ê22	2010 week:Ê23	2010 week:Ê24	2010 week:Ê25	2010 week:Ê26	2010 week:Ê27	2010 week:Ê28	2010 week:Ê29	2010 week:Ê30	2010 week:Ê31	2010 week:Ê32	2010 week:Ê33	2010 week:Ê34	2010 week:Ê35	2010 week:Ê36	2010 week:Ê37	2010 week:Ê38	2010 week:Ê39	2010 week:Ê40	2010 week:Ê41	2010 week:Ê42	2010 week:Ê43	2010 week:Ê44	2010 week:Ê45	2010 week:Ê46	2010 week:Ê47	2010 week:Ê48	2010 week:Ê49	2010 week:Ê50	2010 week:Ê51	2010 week:Ê52	2011 week:Ê1	2011 week:Ê2	2011 week:Ê3	2011 week:Ê4	2011 week:Ê5	2011 week:Ê6	2011 week:Ê7	2011 week:Ê8	2011 week:Ê9	2011 week:Ê10	2011 week:Ê11	2011 week:Ê12	2011 week:Ê13	2011 week:Ê14	2011 week:Ê15	2011 week:Ê16	2011 week:Ê17	2011 week:Ê18	2011 week:Ê19	2011 week:Ê20	2011 week:Ê21	2011 week:Ê22	2011 week:Ê23	2011 week:Ê24	2011 week:Ê25	2011 week:Ê26	2011 week:Ê27	2011 week:Ê28	2011 week:Ê29	2011 week:Ê30	2011 week:Ê31	2011 week:Ê32	2011 week:Ê33	2011 week:Ê34	2011 week:Ê35	2011 week:Ê36	2011 week:Ê37	2011 week:Ê38	2011 week:Ê39	2011 week:Ê40	2011 week:Ê41	2011 week:Ê42	2011 week:Ê43	2011 week:Ê44	2011 week:Ê45	2011 week:Ê46	2011 week:Ê47	2011 week:Ê48	2011 week:Ê49	2011 week:Ê50	2011 week:Ê51	2011 week:Ê52	2012 week:Ê1	2012 week:Ê2	2012 week:Ê3	2012 week:Ê4	2012 week:Ê5	2012 week:Ê6	2012 week:Ê7	2012 week:Ê8	2012 week:Ê9	2012 week:Ê10	2012 week:Ê11	2012 week:Ê12	2012 week:Ê13	2012 week:Ê14	2012 week:Ê15	2012 week:Ê16	2012 week:Ê17	2012 week:Ê18	2012 week:Ê19	2012 week:Ê20	2012 week:Ê21	2012 week:Ê22	2012 week:Ê23	2012 week:Ê24	2012 week:Ê25	2012 week:Ê26	2012 week:Ê27	2012 week:Ê28	2012 week:Ê29	2012 week:Ê30	2012 week:Ê31	2012 week:Ê32	2012 week:Ê33	2012 week:Ê34	2012 week:Ê35	2012 week:Ê36	2012 week:Ê37	2012 week:Ê38	2012 week:Ê39	2012 week:Ê40	2012 week:Ê41	2012 week:Ê42	2012 week:Ê43	2012 week:Ê44	2012 week:Ê45	2012 week:Ê46	2012 week:Ê47	2012 week:Ê48	2012 week:Ê49	2012 week:Ê50	2012 week:Ê51	2012 week:Ê52	2013 week:Ê1	2013 week:Ê2	2013 week:Ê3	2013 week:Ê4	2013 week:Ê5	2013 week:Ê6	2013 week:Ê7	2013 week:Ê8	2013 week:Ê9	2013 week:Ê10	2013 week:Ê11	2013 week:Ê12	2013 week:Ê13	2013 week:Ê14	2013 week:Ê15	2013 week:Ê16	2013 week:Ê17	2013 week:Ê18	2013 week:Ê19	2013 week:Ê20	2013 week:Ê21	2013 week:Ê22	2013 week:Ê23	2013 week:Ê24	2013 week:Ê25	2013 week:Ê26	2013 week:Ê27	2013 week:Ê28	2013 week:Ê29	2013 week:Ê30	2013 week:Ê31	2013 week:Ê32	2013 week:Ê33	2013 week:Ê34	2013 week:Ê35	2013 week:Ê36	2013 week:Ê37	2013 week:Ê38	2013 week:Ê39	2013 week:Ê40	2013 week:Ê41	2013 week:Ê42	2013 week:Ê43	2013 week:Ê44	2013 week:Ê45	2013 week:Ê46	2013 week:Ê47	2013 week:Ê48	2013 week:Ê49	2013 week:Ê50	2013 week:Ê51	2013 week:Ê52	2014 week:Ê1	2014 week:Ê2	2014 week:Ê3	2014 week:Ê4	2014 week:Ê5	2014 week:Ê6	2014 week:Ê7	2014 week:Ê8	2014 week:Ê9	2014 week:Ê10	2014 week:Ê11	2014 week:Ê12	2014 week:Ê13	2014 week:Ê14	2014 week:Ê15	2014 week:Ê16	2014 week:Ê17	2014 week:Ê18	2014 week:Ê19	2014 week:Ê20	2014 week:Ê21	2014 week:Ê22	2014 week:Ê23	2014 week:Ê24	2014 week:Ê25	2014 week:Ê26	2014 week:Ê27	2014 week:Ê28	2014 week:Ê29	2014 week:Ê30	2014 week:Ê31	2014 week:Ê32	2014 week:Ê33	2014 week:Ê34	2014 week:Ê35	2014 week:Ê36	2014 week:Ê37	2014 week:Ê38	2014 week:Ê39	2014 week:Ê40	2014 week:Ê41	2014 week:Ê42	2014 week:Ê43	2014 week:Ê44	2014 week:Ê45	2014 week:Ê46	2014 week:Ê47	2014 week:Ê48	2014 week:Ê49	2014 week:Ê50	2014 week:Ê51	2014 week:Ê52
Philippines	9	17	3	6	16	43	20	13	6	15	9	10	9	15	8	8	3	2	3	13	7	10	13	22	28	48	55	78	74	114	92	116	148	174	82	54	97	87	59	36	42	5	14	4	7	7	12	3	2	5	1		5	13	5	7	8	20	25	21	15	20	20	18	13	10	10	3	5	6	3	1	6	10	6	6	2	17	17	20	32	12	28	28	51	39	2	24	18	16	17	29	25	45	41	11	22	34	27	22	24	24	11	0	28	32	16	16	6	9	7	5	3	2	4	1	1	1	2	3	0	0	0	1	0	0	0	0	2	2	8	14	59	71	41	29	30	13	33	25	20	22	20	12	12	11	5	13	10	25	3	11	11	11			1	16	26	19	32	27	30	19	21	27	29	17	14	16	3	12	4	6	2	8	17	13	11	6	17	38	13	16	25	7	27	25	20	11	8	17	25	39	25	49	66	21	32	12	32	27	17	8	13	8	1		1	5	10	8	16	3	5	4	5	2	3	12	4	13	9	4	8	15	28	21	16	12	19	10	14	10	22	14	20	17	2	21	42	28	17	11	16	17	11	5	1	4	0	0	6	2						
Poland	68	28	10	6	7	4	4	7	5	4	0	4	1	0	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	3	3	3	0	3	16	173	262	244	286	201	115	116	83	78	40	37	19	4	4	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	2	1	4	6	3	5	3	2	7	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	1	1	1	0	1	8	21	27	115	343	387	276	142	118	47	58	66	52	55	35	28	28	13	4	3	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	1	0	0	2	0	1	0	1	6	7	6	10	32	34	34	43	21	18	8	4	4	0	0	2	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	
Portugal	49					14	11		82	68	12	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	2	3	4	10	33	31	22	16	25	15	15	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0														0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	5	3	9	12	14	24	28	26	42	5	4	2	2	0	0	1	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	7	4	9	26	41	42	54	61	86	124	141	160	132	69	42	27	12	9	3	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	3	2	0	5	18	22	66	106	195	258	213	146	84	56	35	31	13	14	4	8	3	0	1	1	0	1	0	0	1	0														0	0	0	0	1	0	0	1	3	2	3	1	1		
Qatar																																																					12	12	18	9	9	4	0	9	5	4	3	3	2	6		5	6	3	3	6	5	2	7	2	1		1	1	3	4	0	5	1	5	2	5	6	6	6	3	9	4	9	6	18	17	17	16	10	22	13	14	8	7	20	10	10	10	15	15	12	22	25	38	38	36	28	17	10	6	7	3	8	1	1	1	0	1	2	2	1	0	0	1	0	0	0	0	3	2	2	4	6	7	9	8	9	27	20	31	32	32	25	33	23	21	19	13	6	22	10	6	14	11	12	4	4	12	11	12	10	15	1	10	9	6	11	9	9	7	4	4	13	13	5	4	6	7	8	20	23	29	13	26	22	16	58	51	47	65	125	106	54	97	71	131	91	101	68	126	122	130	117	130	127	110	84	131	82	85	74	115	121	127	108	66	46	41	49	54	46	32	21	32	17	18	18	11	6	1	11	22	27	16	19	17	14	27	33	49	33	33	40	58	44			
Republic of Korea	166	131	86	96	72	75	35	42	34	29	66	112	228	331	318	234	206	121	54	29	16	6	2	0	3	0	0	0	0	0	0	0	0	0	2	4	1	4	1	9	2	4	0	6	9	7	10	44	74	143	295	416	326	214	148	76	59	13	21	11	7	6	10	3	2	2	5	8	14	5	6	0	2	2	2	0	0	0	1	1	0	0	0	0	1	0	0	4	5	0	1	1	0	1	0	2	3	2	1	8	13	26	28	171	138	212	308	178	240	257	265	225	191	136	201	271	237	228	200	108	68	26	12	7	1	0	1	0	0	0	0	2	2	1	3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	6	20	27	58	104	109	108	129	128	184	157	116	120	114	60	63	53	47	33	18	22	8	7	0	4	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	6	11	32	45	55	87	128	155	166	156	203	205	158	129	136	116	111	69	43	31	18	14	4	3	2	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	
Republic of Moldova				10	16	8	10	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	39	49	51	94	87	122	103	39	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	5	5	6	6	6	5	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	7	12	21	35	29	35	16	17	15	9	7	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	6	8	11	21	15	14	11	15	4	2	1	1	0	0	0	0	0	0	0	0	0	0															0	0	0	0	0	0	0	0	0	0	0		
Romania	386	371	192	55	27	19	11	0	2	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	6	22	65	62	117	99	102	120	93	79	37	19	12	2	5	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	3	6	3	6	9	21	39	31	22	10	25	25	32	16	7	9	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	11	18	22	31	50	53	64	82	110	56	55	37	22	14	14	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	6	5	6	3	16	20	19	49	51	58	44	40	22	10	7	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		
Russian Federation	161	270	297	152	158	170	140	145	146	74	113	169	158	134	164	168	145	77	87	58	26	30	16	15	16	5	1	0	1	2	6	0	1	3	4	0	2	5	7	9	7	4	7	5	12	11	33	49	46	99	132	148	28	235	710	1321	1782	2393	2263	1565	1720	773	869	493	286	178	90	76	44	10	11	15	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	7	9	17	7	23	7	16	8	15	10	10	11	5	13	18	46	56	102	136	182	299	261	470	461	550	429	402	382	231	172	69	59	44	27	31	13	12	7	1	0	1	3	9	2	3	3	3	3	3	6	4	0	6	6	6	6	8	12	13	9	16	13	13	24	11	60	187	349	682	1048	1447	1539	1683	1463	1355	1053	941	631	598	418	246	117	77	117	39	10	25	20	12	5	7	4	5	0	1	2	2	1	1	2	6	6	5	3	4	10	10	9	2	11	15	11	4	15	27	38	25	52	62	116	157	216	339	396	437	493	546	573	521	342	350	0	303	281	137	0	0	0	1	0	15	0	0	0	0	0	0	0	0	0	0	0	3	6	0	3	0	9	0	0		0	0	0	8	2		
Rwanda	11	5	2	1	3	5	11	13	46	23	27	26	10	5	1	9	2	1	2	4	2	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0		0	1	0	1	1	2	1	3	3	3	5	1	1	10	2	8	4	4	14	0	6	3	5	1	1	2	1	3	1	0	0	0	1	0	0	0	0	0	0														0	0	0	0	2	3	5	1	3	7	4	13	5	0	1	1	2	0	0		2	17	7	3	5	2	1	3	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	1	1	3	2	1	7	11	4	26	13	2	10	3	5	4	1	2	24	17	6	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	1	0	0	0	0	2	5	5	1	3	1	3	6	2	7	3	6	3	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0							
Senegal	2	1	4	5	18	106	81	97	20	9	10	25	0	14	7	6	1	5	5	4	2	6	1	3	0	2	9	3	6	15	9	23	13	6	3	15	6	20	46	64	53	72	81	54	28	2	14	4	4	7	0	0	0	20	10	6	1	2	4	11	15	11	6	4	1	2	11	2	0	2	0	0	0	0	0	1	1	2	16	11	6	18	2	4	9	8	11	44	106	82	99	132	169	157	101	7	12	27	13	14	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	9	6	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	3	6	39	187	361	535	237	88	66	20	11	4	3	6	12	2	0	3	1	1	0	1	4	1	8	11	12	13	11	3	5	4	8	14	7	7	1	1	3	2	4	7	8	4	7	8	7	6	10	12	14	7	20	21	20	32	29	6	35	18	13	26	11	7	6	2	1	1	4	0	2	6	0	4	2	0	0	1	0	0	1	0	0	0	2	1	0	0	0	1	0	0	1	1	0	7	4	9	9	10	8	32	16	10	22	26	16	8	15	16	16	17	1	0	0					
Serbia	34	19	6	5	1	3	1	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	4	0	0	4	16	31	38	56	97	38	37	21	18	11	12	6	2	2	2	0	0	0	0																			0	6	0	0	0	0	0	0	0	0	1	0	4	5	0	0	1	2	1	0	0	2	11	18	17	16	14	6	5	0	8	0	0	0																			0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	16	14	23	30	66	41	29	25	10	7		3	1	3	0	0	0	0																					0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	3	20	6	15	12	15	16	20	9	5	3	1	0	1	0																				1	0	0	0	0	0	0	0	0	0	0		
Sierra Leone																																																																																						12	8	13	10	6	2	2	2	1	1	2	0	1	0	0	0	0	0	0	0		0	0	1	0	0	0	0	0	0	2	2	0	4	6	0	0	1	0	0	0	1	0	0	1	1	1	4	4	3	0	1	8	6	2	0	1	2	3	2	2	0	2	4	2	4	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0																																							
Singapore	94	184	89	87	63	45	9	18	15	17	17	34	47	93	88	149	163	304	249	203	206	165	152	98	69	61	71	62	58	47	39	27	46	40	49	31	33	43	34	22	30	11	20	16	12	5	10	16	12	13	11	22	47	65	72	72	36	61	35	27	25	18	15	20	7	10	4	2	2	3	6	5	13	10	12	23	37	35	35	45	31	29	20	17	16	7	6	9	12	9	16	26	14	25	10	16	21	25	17	16	25	20			25	39	18	23	34	39	48	30	26	18	24	19	22	14	19	12	19	19	24	18	24	30	30	27	23	14	17	13	7	13	9	17	9	8	7	7	9	10	8	7	7	7	12	13	17	17	12	18	25	26	24	25	23	28	22	28	29	6	6	15	3	7	5	9	3	6	10	11	10	2	8	22	15	19	23	21	12	5	5	3	4	3	6	3	10	4	2	5	5	19	16	11	28	20	11	31	23	36	21	31	29	24	41	18	25	34	28	22	13	11	17	21	14	12	7	4	10	15	8	11	7	8	15	9	17	51	45	58	41	50	60	60	64	60	35	30	30	23	14	12	8	10	7	3	4	2	3	1	2	2	2	2	3	3		
Slovakia	7	6	3	3	0	1	0	0	0	6	0	1	5	4	2	0	0	0	0	0	0	0	0	0		0	0	0	0	1	0	0	0	0		0	0	0	0	2		0	0	0	0	1	1	1	4	6	1	0	0	0	2	20	40	56	80	65	71	46	20	9	17	13	17	4	7	4		0	0	0	0	0	0	0	0	0	0	0	1	3	2	1		0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0		0	0	0	42	0	0	3	6	1	1	7	12	6	4	16	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0		0	0	0	0	0	0	0	1	0	13	27	44	55	61	59	65	65	46	47	11	36	4	5	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	3	9	5	0	11	7	3	12	9	5	6	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1		
Slovenia	6	5	5	0	2	2	0	0	0	0	0	0	0	0	7	1	1	0	1	0	0	0	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	4	18	33	62	102	95	117	69	43	31	15	17	11	3	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	3	8	14	12	24	32	67	72	54	56	42	11	12	3	4	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	1	10	26	39	47	52	54	60	64	66	51	46	26	24	24	28	12	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	3	3	9	16	20	32	52	79	49	35	25	45	28	10	11	5	1	1	1	0	0	0		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	2	6		
South Africa	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	2	10	16	36	84	85	85	61	121	124	99	122	116	74	78	61	39	24	20	8	14	6	3	11	9	8	3	3	0	3	2	8	4	2	1	2	1	1	4	0	1	5	1	2	1	5	2	8	14	24	47	93	158	223	176	146	90	66	36	26	15	19	10	20	26	24	15	20	37	47	34	23	16	16	8	14	6	4	2	7	0	1	1	1	1	0	0	1	1	3	0	1	1	4	0	0	3	2	3	4	5	3	8	15	7	24	28	68	52	46	62	67	95	112	78	123	129	104	61	67	56	19	21	9	7	8	0	1	4	0	4	0	0	0	0	5	3	1	3	2	3	0	3	0	5	1	0	1	1	3	7	7	13	28	42	80	98	139	129	103	101	64	39	26	27	35	41	38	35	56	27	29	32	32	20	12	11	14	15	12	12	2	2	1	1	1	0	0	3	1	1	0	2	0	2	1	1	0	0	6	3	0	3	0	2	1	12	7	10	20	26	52	67	75	51	68	59	72	89	69	29	30	20	23	21	8	2	2	0	0	1	2	1	0	0	0	2		
Spain	38	26	8	7	5	16	1	1	2	8	8	4	3	2	0	8	5	9	2	7	8	4	4	5	4	2	6	4	2	3	1	0	0	2	3	0	4	0	0	2	4	2	8	3	9	15	11	33	31	107	276	525	597	692	539	404	402	300	259	204	106	54	49	29	17	9	2	1	1	0	1	0	0	1	0	3	0	0	0	0	0	0	1	1	0	0			6	0	0	1	0	1	0	1	1	9	2	7	8	37	47	95	68	162	301	513	619	828	929	838	499	299	163	95	49	27	13	19	23	19	24	18	6	1	15	7	4	2	1	1	10	2	0	0	0	0	0	0	0	0	0	0	3	4	1	0	6	7	4	11	15	10	42	30	48	153	272	443	527	557	639	602	414	416	286	228	122	87	69	35	14	10	6	0	1	1	3	0	1	1	3	2	0	1	1	1	0	1	1	2	1	1	0	2	2	0	5	1	2	4	5	11	16	35	79	109	167	453	1041	1083	804	610	451	336	229	161	82	50	26	39	14	8	8	7	4	3	1	2	1	4	6	2	2	0	1	0	2	0	0	2	0	1	1	0	0	4	3	2	5	3	6	4	11	24	24	26	0	6
Sri Lanka	35	5	7	4	4	1	9	5	3	3	3	0	2	2	1	1	2	2	6	5	4	2	3	0	0	0	0	1	0	1	0	0	0	0	1	0	0	4	0	2	9	13	24	19	43	46	65	73	103	122	86	91	71	38	31	9	10	17	5	15	4	5	2	4	4	4	1	2	1	6	6	3	4	3	9	6	11	3	13	5	12	6	2	4	1	6	3	7	7	14	14	6	9	11	11	3	20	13	34	16	25	25	11	16	11	21	22	22	15	18	9	10	6	6	1	0	0	2	0	1	4	1	2	6	25	10	24	27	15	12	19	37	23	18	17	20	12	12	10	14	15	13	14	11	14	11	18	15	17	14	29	11	16	24	12	20	20	35	32	31	24	29	34	21	31	19	23	25	18	21	14	23	54	68	93	117	79	48	15	6	0	2	9	4	2	4	5	5	2	2	3	2	1	3	2	2	0	2	1	2	1	3	2	0	1	1	4	0	4	1	7	6	4	0	4	6	8	7	10	2	12	6	3	0	16	10	4	5	14	6	5	7	5	6	6	4	8	7	1	1	1	1	0	1	0	4	2	0	2	6	6	4	2	0	1	2	5	7	4	
Sweden	4	8	5	2	5	14	3	4	11	5	9	12	10	18	15	10	11	8	9	1	3	2	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	7	3	2	4	23	27	50	79	158	354	312	317	330	405	377	268	255	291	224	168	113	82	58	36	20	7	6	6	1	0	2	0	0	0	0	0	1	2	0	1	0	1	0	1	2	0			1	0	3	3	1	1	4	8	7	11	18	28	39	29	33	52	77	139	234	488	687	862	706	642	435	222	127	107	63	48	28	18	8	12	1	0	0	0	2	2	2	1	4	1	2	1	0	0	0	3	0	1	1	2	4	3	8	9	13	7	18	34	44	114	202	267	343	394	494	731	895	905	810	688	518	486	428	370	324	276	164	78	50	24	14	5	1	1	0	0	2	2	1	1	1	2	1	0	1	0	2	0	0	1	3	1	3	3	6	9	11	2	15	14	43	93	71	93	87	75	113	162	259	312	329	242	204	138	104	84	81	87	53	44	17	20	7																				0	1	2	6	4	10	6	6	10	11	12		
Switzerland	25	7	3	6	2	2	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	1	1	0	1	1	1	2	4	2	3	12	17	56	96	134	140	153	186	222	206	217	135	74	53	42	34	31	16	7	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	2	1	2	6	3	8	10	27	34	35	46	35	42	26	52	20	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	5	6	9	20	27	70	113	175	278	367	426	395	309	318	243	125	105	69	46	20	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	3	1	5	6	12	32	76	85	67	91	176	174	184	163	145	182	125	105	43	39	8																								2	0	0	4	0	2	3	1	4	5	4		
Syrian Arab Republic																																																																																																			0	0	0	1	1	0	0	4	4	1	0	0	1	1	0																		0																																																																																																																																	
Thailand	6	39	49	48	60	74	76	74	33	35	40	29	14	6	1	7	2	11	8	8	3	2	3	4	7	13	7	32	39	25	51	44	67	92	108	108	94	103	102	51	64	50	62	23	15	8	7	4	2	4	8		1	13	11	2	12	9	5	6	1	3	2	6	4	2	1	7	4	1	1	3	8	3	4	7	9	8	39	20	45	43	51	44	60	66	66	89	37	39	15	25	7	9	1	14	11	5	5	34	18	11	17		0	13	2	14	12	18	17	17	16	10	14	12	5	3	6	10	7	5	4	6	3	9	10	4	14	10	28	31	22	25	4	35	40	34		42	56	54	38	33	26	30	10	17	21	13	20	22	23	19	24		0	38	28	22	25	29	21	22	5	21	11	12	12	6	1	6	5	3	5	3	5	4	5	2	9	7	9	9	14	0	10	10	10	16	21	14	15	13	12	20	10	18	13	10	17	25	17	16	16	4	15	16	0	18	18	25	24	22	50	60	39	45	54	43	41	33	11	2	30	17	25	24	17	16	11	9	22	12	20	27	28	24	12	15	1	33	11	13	15	2	5	5	7	2	3	1								
The former Yugoslav Republic of Macedonia																																																																																																																																																																																																																					6																																															
Togo																	2	4	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	3	4	0	2	0	0	1	0	0	1	0	0	1	0	0	0	3	0	1	1	1	3	0	4	0	0	4	7	8	12	3	0	0	0	3	2	4	4	2	1	0	1	1	1	0	0	0	0	1	2	2	4	2	5	0	0	2	0	1	2	1	3	3	1	1	1	1	1	1	1	0	1	2	2	0	1	0	2	2	1	1	2	0	4	2	1	6	2	1	1	1	4	4	0	0	3	2	1	1	0	3	2	4	9	6	2	5	3	4	9	5	5	2	10	2	1	0	1	0	0	0	2	0	4	0	0	0	0	0	0	0	0	1	0	0	0	4	3	1	1	1	1	1	0	1	0	0	0	0	0	0	2	3	0	1	5	0	0	0	1	3	6	1	0	0	1	7	1	9	2	4	8	4	3	2	3	7	1																																							
Tunisia	67	21	17	7	6	3	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0															0	0	0	0	0	0	0	2	0	1	1	2	5	5		15	7	6	14	14	33	25	17	29	8	15	11	5	1	0	0	0																					0	0	0	1	0	1	2	1	0	1	4	3	7	11	7	5	6	2	4	2	3	2	1	2	1	1	3	0	0	3	3	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	2	4	12	39	58	76	93	63	14	11	3	1	1	0	2	0	0																						0	0	0	0	0	0	1	1	0	0	0	1	1	2	2	4	11	8	7	12	4	1	2	1	1	2	1	3	0	1	0	1	1	4	3																		0	1	1	2	1	0	1	0	3	8		
